nombre,precio,artista,lugar,nota,n_opiniones,duracion
Transplantar,"11,20€",,Teatro Lara - Sala Lola Membrives,,,"Idioma
Español"
Mi gran noche griega. Dzimis Tsapas. The Greek Dzinious,12€,,Teatro de las Aguas,,,"Duración
60 minutos"
¡Por fin solo!,16€,Carles Sans,Teatro Reina Victoria,,,"Duración
90 MINUTOS APROX."
El cómico faltoso. Carlos Moreno,10€,Carlos Moreno,Teatro de las Aguas,,,"Duración
60 minutos"
Curreles,10€,"Raúl Fervé, Toni Moret, Sofia Squittieri",Teatro de las Aguas,,,"Duración
70 minutos"
Asco y Pena en directo- Un Podcast de Nacho García y Miguel Iríbar,12€,,El Golfo Comedy Club,,,"Duración
70 minutos"
Fran Pati y Mikel Bermejo - MVPs,11€,"Fran Pati, Mikel Bermejo, El Golfo Comedy Club",El Golfo Comedy Club,,,"Duración
70 minutos"
Stand Up en el momento,5€,"Diego Daño, Varios Artistas",El Golfo Comedy Club,9.2,9.0,"Duración
70 minutos"
Carmen Fresca - Un espectáculo de Carmen Alcayde,11€,Carmen Alcayde,Beer Station - Sala 1,8.8,2.0,"Duración
70 minutos"
Bhonny Lorenzo presenta Bonifacetico,12€,,El Golfo Comedy Club,10.0,6.0,"Duración
70 minutos"
Isabel Rey.- Diva de Barrio,11€,"Isabel Rey, El Golfo Comedy Club",El Golfo Comedy Club,,,"Duración
70 minutos"
Taka Gómez - Plátano,10€,Taka Gómez,Beer Station - Sala 1,,,"Duración
60 minutos"
Tabú,"7,50€",David La Cruz,Bala Perdida Club (Hotel Axel Madrid),10.0,8.0,"Duración
70 minutos"
Pilar de Francisco y Borja Sumozas. ¡Por fin juntos!,12€,"Borja Sumozas, Pilar de Francisco",El Golfo Comedy Club,9.2,9.0,"Duración
70 minutos"
Patxi Zubeldia.-  Bestia Parda,12€,"Patxi Zubeldia, El Golfo Comedy Club",El Golfo Comedy Club,10.0,1.0,"Duración
70 minutos"
Alberto Graupera.- No le busques sentido,12€,"Alberto Graupera, El Golfo Comedy Club",El Golfo Comedy Club,10.0,1.0,"Duración
70 minutos"
Juan Moreno - Infame,11€,,El Golfo Comedy Club,9.8,4.0,"Duración
70 minutos"
Estoy bien. Esther Gimeno,12€,Esther Gimeno,El Golfo Comedy Club,8.7,6.0,"Duración
70 minutos"
Borja Manjón. Poca cosa.,12€,Borja Manjón,El Golfo Comedy Club,9.8,5.0,"Duración
70 minutos"
El Ahorcado Open Mic,9€,"Felipe Mateos, Juan Moreno, El Golfo Comedy Club",El Golfo Comedy Club,10.0,1.0,"Duración
90 minutos"
Nico Lozano. Borderline Golfo Edition.,12€,Nico Lozano,El Golfo Comedy Club,,,"Duración
70 minutos"
No me puedo quejar,"7,50€",,Bala Perdida Club (Hotel Axel Madrid),,,"Duración
80 minutos"
Jaja Party - Presentado por Javi Durán,8€,Javi Durán,Beer Station - Sala 1,8.5,6.0,"Duración
1 hora"
Quique Matilla - Vastante vien,12€,,Beer Station - Sala 1,10.0,1.0,"Duración
75 min"
"Nayra Pérez presenta Por mí, ya estaría",11€,"Beer Station, Nayra Pérez",Beer Station - Sala 1,10.0,7.0,"Duración
60 min"
100% Risas y Humor - Mancheguito,10€,Marce Gonzalez,Estación Malasaña,9.9,91.0,"Duración
1 hora"
Summertime,"10,50€",,OFF LATINA,9.6,2.0,"Duración
80 minutos"
Ganso: un show de Edu J,10€,,El Sombrerero Comedy Club,10.0,6.0,"Duración
70 min"
Menuda Pájara - Carmen Alcayde,8€,Carmen Alcayde,Estación Malasaña,,,"Duración
1 hora"
"Manu ""El Gamba"" en Platea",10€,Manu el Gamba,Platea Café Teatro,,,"Duración
80 minutos"
Traficante de Risas - Boira Sigue Vivo!!!,8€,Albert Boira,Clandestino Café Teatro,,,"Duración
1 hora"
Funny hour open mic,3€,MARIO VELASCO Y ALBERTO GRAUPERA,Cafetería Valverde,10.0,7.0,"Duración
70 minutos"
Rodrigo Marques - Estamos vivos,"9,75€",Rodrigo Marques,Teatro Amaya,,,"Tipo de audiencia
Adultos"
Miguel Sincero - Píkaro,15€,"Miguel Sincero, La Chocita del Loro",Teatro Chocita del Loro - Gran Vía,9.2,11.0,"Duración
90 minutos"
El caótico enamorar de Tristán,12€,,Teatro Victoria Madrid,,,"Duración
60 minutos"
Xibalba Open Mic,"3,99€",,Tatemado,10.0,2.0,"Duración
90 minutos"
Cincuentañer@s,10€,José Boto,Clandestino Café Teatro,8.4,9.0,"Duración
1 hora"
Heterobásicos,10€,Toni Moret - Pablo Alcaraz,Clandestino Café Teatro,,,"Duración
1 hora"
Popurrí: Miguel Miguel en Platea,10€,,Platea Café Teatro,9.7,8.0,"Duración
80 minutos"
La vida me importa un huevo,10€,Arturo Cejas,Vodevil Circus,10.0,1.0,"Duración
75 minutos"
Sujétame El Micrófono,8€,"Vicente Pulki, Davis Corpa",Clandestino Café Teatro,,,"Duración
1 hora"
Humor de Perros,10€,,Clandestino Café Teatro,8.7,9.0,"Duración
1 hora"
Comedia Imprevisible,8€,Ismael Galletero,Clandestino Café Teatro,,,"Duración
1 hora"
Capilladas,10€,,Clandestino Café Teatro,10.0,3.0,"Duración
1 HORA"
Pero Que Me Estas Contando!? - Monologo y Comedia,10€,Nicolás Biffi,Clandestino Café Teatro,8.5,16.0,"Duración
1 HORA"
"Kalderas, Sin Filtro",10€,Kalderas,Clandestino Café Teatro,,,"Duración
1 hora"
Situaciones incómodas - Marcos Arizmendi,10€,Marcos Arizmendi,Clandestino Café Teatro,9.9,10.0,"Duración
1 hora"
Sin Pelos En La Lengua,5€,Ismael Galán,Clandestino Café Teatro,10.0,1.0,"Duración
1 hora"
"Comedia Canalla, El Incorrecto",8€,Dani Acosta,Clandestino Café Teatro,6.8,6.0,"Duración
1 hora"
El Humor De Los 90s Hoy,10€,El Largo,Clandestino Café Teatro,7.5,2.0,"Duración
1 hora"
Histéricas,6€,Javi DelPe Estupenda Bar,Estupenda Bar,9.5,5.0,"Duración
70-90 minutos aprox"
Juanete Deltó: ¡de esta no salimos!,5€,"Javi DelPe Estupenda Bar, Chic Comedy",Estupenda Bar,,,"Duración
75 minutos (con descanso)"
"Alicia Montoya, Payasa",7€,,Tropicana Beach Club Madrid,,,"Duración
75-90 min aprox (incluye descanso)"
