show,tipo,precio,duracion,artista,local,nota,opiniones
Momentos de ternura. Con Edu Halmoguera y Pablo Medina,show,12.0,70.0,pablo medina,El Golfo Comedy Club,9.0,17.0
Chic  Comedy - Monólogos,show,3.5,80.0,javi delpe,Estupenda Bar,9.0,194.0
Chic  Comedy - Monólogos,show,3.5,80.0, javi delpe,Estupenda Bar,9.0,194.0
Los perros no hablan,show,8.0,90.0,paco páez,Sala Kathedral,9.3,91.0
Los perros no hablan,show,8.0,90.0, charlie under,Sala Kathedral,9.3,91.0
¡Tampoco es para tanto! - Javi Bravo,show,8.0,60.0,javi bravo,Estación Malasaña,9.3,140.0
No + Reglas,show,7.0,70.0,carlos moreno,Collage Burlesque,9.3,10.0
No + Reglas,show,7.0,70.0, daniel celester,Collage Burlesque,9.3,10.0
¡Hostia Patxi! un monólogo en Madrid,show,10.0,70.0,patxi zubeldia,Mad Beer Hall,9.2,71.0
Comedia sin Límites - Monólogos y mucho más,show,12.0,70.0,juan solo,Beer Station,8.6,34.0
Dos Gordos muy Grasiosos,show,13.0,60.0, aitor vega,Vodevil Circus,9.5,29.0
Juanma Molina y Ruinas Planchuelo - Del Sur,show,15.0,90.0,ruinas planchuelo,Teatro Chocita del Loro - Gran Vía,9.3,23.0
Juanma Molina y Ruinas Planchuelo - Del Sur,show,15.0,90.0, juanma molina,Teatro Chocita del Loro - Gran Vía,9.3,23.0
Luismi - Colocado cabe 4.0,show,15.0,90.0,luismi,Teatro Chocita del Loro - Gran Vía,9.0,285.0
Fernando García - Lo que yo sé de las mujeres,show,17.0,90.0,fernando garcía-torres,Teatro Chocita del Loro - Gran Vía,8.9,345.0
Comedy Rally,show,7.0,90.0,bhonny lorenzo,Estación Malasaña,9.1,73.0
Kabraloker - Mas Loco Que Una Cabra,show,10.0,60.0,gustavo biosca,Clandestino Café Teatro,8.8,57.0
Soy Tóxica,show,7.5,70.0,victoria santos,Bala Perdida Club (Hotel Axel Madrid),9.0,60.0
Soy Tóxica,show,7.5,70.0, yolanda mora,Bala Perdida Club (Hotel Axel Madrid),9.0,60.0
Soy Tóxica,show,7.5,70.0," noa sánchez ""la muñeka""",Bala Perdida Club (Hotel Axel Madrid),9.0,60.0
Probando material,show,7.0,95.0,gustavo capiello,El Golfo Comedy Club,8.3,12.0
"MILF (Mujer inteligente, libre y feliz)",show,10.0,60.0,belén caccia,Collage Burlesque,9.0,75.0
"MILF (Mujer inteligente, libre y feliz)",show,10.0,60.0, victoria santos,Collage Burlesque,9.0,75.0
"MILF (Mujer inteligente, libre y feliz)",show,10.0,60.0, laura del val,Collage Burlesque,9.0,75.0
"MILF (Mujer inteligente, libre y feliz)",show,10.0,60.0, vero jofre,Collage Burlesque,9.0,75.0
"MILF (Mujer inteligente, libre y feliz)",show,10.0,60.0, sandra u,Collage Burlesque,9.0,75.0
"MILF (Mujer inteligente, libre y feliz)",show,10.0,60.0, paula pirela,Collage Burlesque,9.0,75.0
"MILF (Mujer inteligente, libre y feliz)",show,10.0,60.0, tatiana ruiz,Collage Burlesque,9.0,75.0
"MILF (Mujer inteligente, libre y feliz)",show,10.0,60.0, tatiana cirese,Collage Burlesque,9.0,75.0
"Daniel Fez. La vida Regulinchi, en Madrid",show,16.0,60.0,daniel fez,Teatro Alcázar,,
El Unipersonal de Luciano Mellera,show,20.0,60.0,luciano mellera,Teatro EDP Gran Vía,,
Momi Giardina - Cualquier cosa te llamamos,show,20.0,60.0,momi giardina,Pequeño Teatro Gran Vía de Madrid,,
Racional - Pablo Molinari en Madrid,show,20.0,90.0,pablo molinari,Cinesa Fuencarral,,
Miki Dkai: Personal Trainer,show,12.0,70.0,miki dkai,Teatro Arlequín Gran Vía,0.8,1.0
Gente bien,show,10.0,60.0, angel de los rios,Teatro de las Aguas,8.2,5.0
Alex Clavero y Karim - Noche de Monólogos,show,15.0,70.0, karim,Beer Station,10.0,2.0
Lo positivo de fracasar en el amor,show,11.2,60.0,pablo piñeiro,Teatro Lara,,
Transplantar,show,11.2,60.0,pep noguera,Teatro Lara,,
Mi gran noche griega. Dzimis Tsapas. The Greek Dzinious,show,12.0,60.0,dzimis tsapas,Teatro de las Aguas,,
¡Por fin solo!,show,16.0,90.0,carles sans,Teatro Reina Victoria,,
Curreles,show,10.0,70.0, toni moret,Teatro de las Aguas,,
Curreles,show,10.0,70.0, sofia squittieri,Teatro de las Aguas,,
Fran Pati y Mikel Bermejo - MVPs,show,11.0,70.0, mikel bermejo,El Golfo Comedy Club,,
Carmen Fresca - Un espectáculo de Carmen Alcayde,show,11.0,70.0,carmen alcayde,Beer Station,8.8,2.0
Taka Gómez - Plátano,show,10.0,60.0,taka gómez,Beer Station,,
Tabú,show,7.5,70.0,david la cruz,Bala Perdida Club (Hotel Axel Madrid),10.0,8.0
Pilar de Francisco y Borja Sumozas. ¡Por fin juntos!,show,12.0,70.0,borja sumozas,El Golfo Comedy Club,9.2,9.0
Pilar de Francisco y Borja Sumozas. ¡Por fin juntos!,show,12.0,70.0, pilar de francisco,El Golfo Comedy Club,9.2,9.0
Alberto Graupera.- No le busques sentido,show,12.0,70.0,alberto graupera,El Golfo Comedy Club,10.0,1.0
Estoy bien. Esther Gimeno,show,12.0,70.0,esther gimeno,El Golfo Comedy Club,8.7,6.0
Borja Manjón. Poca cosa.,show,12.0,70.0,borja manjón,El Golfo Comedy Club,9.8,5.0
No me puedo quejar,show,7.5,80.0,juanma duplay,Bala Perdida Club (Hotel Axel Madrid),,
Quique Matilla - Vastante vien,show,12.0,75.0,quique matilla,Beer Station,10.0,1.0
100% Risas y Humor - Mancheguito,show,10.0,60.0,marce gonzalez,Estación Malasaña,9.9,91.0
Summertime,show,10.5,80.0,elena beltrán,OFF LATINA,9.6,2.0
Summertime,show,10.5,80.0, miguel campos,OFF LATINA,9.6,2.0
Summertime,show,10.5,80.0, yunez chaib,OFF LATINA,9.6,2.0
Summertime,show,10.5,80.0, pablo ibarburu,OFF LATINA,9.6,2.0
Summertime,show,10.5,80.0, helena pozuelo,OFF LATINA,9.6,2.0
Summertime,show,10.5,80.0, iggy rubín,OFF LATINA,9.6,2.0
Ganso: un show de Edu J,show,10.0,70.0,edu j,El Sombrerero Comedy Club,10.0,6.0
"Manu ""El Gamba"" en Platea",show,10.0,80.0,manu el gamba,Platea Café Teatro,,
Rodrigo Marques - Estamos vivos,show,9.75,60.0,rodrigo marques,Teatro Amaya,,
Miguel Sincero - Píkaro,show,15.0,90.0,miguel sincero,Teatro Chocita del Loro - Gran Vía,9.2,11.0
